address,area,city,lat,lng,name,province
市喜格孜步行街与青岛西路交叉口西50米,桑珠孜区,日喀则市,88.879738,29.268805,台铃电动车,西藏自治区
林廓西路28号,城关区,拉萨市,91.114036,29.655999,台铃电动车(林廓西路店),西藏自治区
三间房褡裢坡268号268文化产业基地总部(国家音乐产业基地)东边,朝阳区,北京市,116.560532,39.930995,台铃电动车(中泰168文化创意园东),北京市
八里庄街道定慧寺恩济里小区1号楼底墒,海淀区,北京市,116.286821,39.931755,台铃电动车(玲珑路店),北京市
铁匠营路福臻家园6号楼底商,丰台区,北京市,116.434801,39.854378,台铃电动车(方庄店),北京市
望京西路花家地西里117号楼底商,朝阳区,北京市,116.458094,39.988735,台铃电动车(南湖中园二条),北京市
枣园路15号附近,大兴区,北京市,116.330252,39.753126,台铃电动车(枣园路),北京市
黄寺大街什坊街2号,西城区,北京市,116.384115,39.961299,台铃电动车,北京市
来广营北路与来广营西路交叉口东50米,朝阳区,北京市,116.462887,40.020948,台铃电动车(来广营北路店),北京市
酒仙桥南路,朝阳区,北京市,116.497975,39.963732,台铃电动车,北京市
中关村北大街47号北大圆明园校区北100米,海淀区,北京市,116.316813,40.016800,台铃电动车(中关村北大街店),北京市
来广营红军营南路广华居15号楼底商,朝阳区,北京市,116.438787,40.032730,台铃电动车(红军营南路),北京市
赵登禹路76号,西城区,北京市,116.368426,39.934337,台铃电动车,北京市
老君堂中路东50米,朝阳区,北京市,116.509399,39.839832,台铃电动车(老君堂中路店),北京市
高碑店镇朝阳路兴隆家园2号楼底商,朝阳区,北京市,116.525032,39.916605,台铃电动车(兴隆家园店),北京市
化工路与垡头路交叉口西南100米,朝阳区,北京市,116.513035,39.860478,台铃电动车,北京市
中关村北大街28号,海淀区,北京市,116.314860,40.003511,台铃电动车(清华西门店),北京市
南磨房路临甲5-102号附近,朝阳区,北京市,116.484806,39.884627,台铃电动车,北京市
清河四街东南大街小学附近,海淀区,北京市,116.348809,40.024189,台铃电动车,北京市
龙岗路21号,海淀区,北京市,116.360679,40.030857,台铃电动车(龙岗路店),北京市
东四北大街155号,东城区,北京市,116.416821,39.936780,台铃电动车(东四北大街店),北京市
丰台火车站正阳北里16号台铃电动车(杨帆教育学校),丰台区,北京市,116.287735,39.848632,台铃电动车(正阳大街),北京市
金沟河路17号附近,海淀区,北京市,116.262072,39.917841,台铃电动车,北京市
周家庄路133号院附近,朝阳区,北京市,116.463637,39.859423,台铃电动车(吕营大街店),北京市
地安门东大街70-1号,东城区,北京市,116.398655,39.933217,台铃电动车,北京市
东坝镇南二街金泽家园C区底商303号楼,朝阳区,北京市,116.562962,39.960434,台铃电动车(东坝店),北京市
临泓路福海西区35号楼3号,丰台区,北京市,116.389387,39.845490,台铃电动车(大红门店),北京市
梨园玉桥西路南延,通州区,北京市,116.672650,39.878744,台铃电动车,北京市
莹霞旅馆西北70米(天柱东路东),顺义区,北京市,116.568271,40.088704,台铃电动车,北京市
马桥北街230号,通州区,北京市,116.546743,39.762682,台铃云电动车,北京市
丰桥路1号院理想家小区2号楼8828号,丰台区,北京市,116.316595,39.851932,台铃电动车(三环新城店),北京市
永顺镇潞苑南大街109号,通州区,北京市,116.697450,39.933803,台铃电动车,北京市
驼房营亮马河边,朝阳区,北京市,116.502414,39.961498,台铃电动车(驼房营店),北京市
沙河镇巩华大街14号,昌平区,北京市,116.269970,40.121737,台铃电动车(沙河中西医结合医院东南),北京市
古城大街1号楼附近,石景山区,北京市,116.186918,39.914933,台铃电动车,北京市
无,朝阳区,北京市,116.506374,40.039077,台铃电动车专卖店,北京市
黄村桥农贸市场北门,大兴区,北京市,116.344773,39.715153,台铃电动车(黄徐路店),北京市
西关北路与西关路交叉口西100米,昌平区,北京市,116.222152,40.223754,台铃电动车(西关路店),北京市
安定门内大街与永恒胡同交叉口东北50米,东城区,北京市,116.408511,39.947128,台铃电动车,北京市
无,朝阳区,北京市,116.494144,40.036787,台铃电动车(何各庄店),北京市
中心东街与迎宾路交叉口东50米,顺义区,北京市,116.638478,40.063480,台铃电动车,北京市
南陈路与顺沙路交叉口东北100米,顺义区,北京市,116.617763,40.141256,台铃电动车,北京市
高丽营镇西马各庄村府荣街81号,顺义区,北京市,116.552156,40.137865,台铃电动车,北京市
百沙路178号附近,昌平区,北京市,116.300299,40.153947,台铃电动车(百沙路),北京市
北七家镇宏福苑小区29号楼底商,昌平区,北京市,116.368618,40.115218,台铃电动车,北京市
回南路25号附近,昌平区,北京市,116.419896,40.089608,台铃电动车,北京市
南宫路西100米,丰台区,北京市,116.147880,39.805526,台铃电动车,北京市
平安北大街与幸福西街交叉口西北50米,顺义区,北京市,116.593985,40.033464,台铃电动车,北京市
大窦路与房窑路交叉口西南150米,房山区,北京市,116.067713,39.646618,台铃电动车工厂店,北京市
X034(水南路),昌平区,北京市,116.215153,40.200276,台铃电动车,北京市
张凤路与枣林路交叉口东南100米,通州区,北京市,116.724239,39.826811,台铃电动车,北京市
上庄镇望湖楼饭庄对面,海淀区,北京市,116.214474,40.100110,台铃电动车(上庄家园西路),北京市
南口镇东大街42号,昌平区,北京市,116.136313,40.237600,台铃电动车(东昇路),北京市
太歇路南100米,昌平区,北京市,116.444257,40.072243,台铃电动车,北京市
皮村路北50米,朝阳区,北京市,116.625283,39.988493,台铃电动车,北京市
小沙河村星星幼儿园北,昌平区,北京市,116.325714,40.126756,台铃电动车,北京市
后沙峪古城中心街17条1号,顺义区,北京市,116.495079,40.095833,台铃电动车,北京市
火沙路与西泗上村南区街交叉口西150米,顺义区,北京市,116.487243,40.094450,台铃电动车,北京市
宋郎路与榆燕路交叉口北100米,通州区,北京市,116.815446,39.856642,北京台铃电动车专卖店,北京市
高丽营镇张喜庄农商银行西行,顺义区,北京市,116.560605,40.146592,台铃电动车专卖店,北京市
半壁店东五街与李天路交叉口西南50米,顺义区,北京市,116.636948,40.034400,台铃电动车,北京市
董各庄村北二街与董白路交叉口南50米,顺义区,北京市,116.521597,40.125908,台铃电动车,北京市
城关镇农林路1号附近,房山区,北京市,115.984663,39.688297,台铃电动车,北京市
S32京平高速靠近管头村村委会,通州区,北京市,116.614426,40.024445,台铃电动车,北京市
阳坊村西大街43号附近,昌平区,北京市,116.144181,40.140710,台铃电动车,北京市
太师屯镇市场内68号,密云区,北京市,117.121780,40.538495,台铃电动车,北京市
南横东街四平园8号楼1一2一3底商,西城区,北京市,116.378559,39.883026,台铃电动车旗舰店(南横东街),北京市
果园西路53号楼附近,密云区,北京市,116.827191,40.378910,台铃电动车小鸟电动车,北京市
新都路北50米,昌平区,北京市,116.375963,40.066052,宗申摩托车台铃电动车,北京市
新华南路59-61号附近,通州区,北京市,116.657787,39.904104,台玲电动车,北京市
旧宫东路54号,大兴区,北京市,116.449105,39.805810,都市风&台铃电动车,北京市
旧京承路与果园北街交叉口东100米,密云区,北京市,116.811637,40.366981,台铃电动车金鹏三轮车,北京市
龙华园1号楼底商,昌平区,北京市,116.328199,40.077359,台铃电动车(回龙观总店),北京市
羊坊店街道翠微路4号,海淀区,北京市,116.302434,39.914589,台铃电动车(翠微路),北京市
美术馆后街65号楼,东城区,北京市,116.408774,39.929686,台铃电动车,北京市
鼓楼西大街212号,西城区,北京市,116.380678,39.947866,台铃电动车,北京市
宋梁路136号附近,通州区,北京市,116.731490,39.942300,紫霞台铃电动车,北京市
上马台镇汽车产业园天福路9号,武清区,天津市,117.231257,39.377571,台铃电动车厂,天津市
大毕庄金温东路圆通速递东200米,东丽区,天津市,117.264014,39.181499,台铃休闲电动三轮办事处,天津市
双口镇永保路7号增1号天禹工业园,北辰区,天津市,117.071098,39.237916,台铃休闲车,天津市
