address,city,districd,lat,lon,name,province,street,town
湖北省武汉市江岸区三阳路19号爱玛专卖店,武汉市,江岸区,30.605402797562395,114.31657918760652,武汉市江岸区尊威力车行,湖北省,,
湖北省武汉市新洲区邾城齐安大道15号,武汉市,新洲区,30.847243870522625,114.80754339289633,湖北省武汉市新洲区梅卫兵,湖北省,,
湖北省武汉市江夏区物资大厦楼下门面,武汉市,江夏区,30.38156421818202,114.32855126446022,武汉市江夏区爱玛电动车专卖店,湖北省,,
湖北省武汉市汉南区汉南大道190号,武汉市,汉南区,30.314809120144606,114.09151485055902,湖北省武汉市汉南区唐春芳,湖北省,,
湖北省武汉市阳逻街道平江路X爱玛电动车,武汉市,新洲区,30.847243870522625,114.80754339289633,武汉市新洲区元培车行,湖北省,,
湖北省黄石市黄石大道王家里948#,黄石市,黄石港区,30.229052639992027,115.07241748607679,黄石港区小明电动车行,湖北省,,
湖北省黄石市大冶市大冶大道80-9号（老火车站广场对面）,黄石市,大冶市,30.10166780010339,114.98643626401979,大冶市兴隆摩托车商行,湖北省,,
湖北省黄石市阳新县古商城501号爱玛专卖,黄石市,阳新县,29.848637562082093,115.25413426961401,阳新县兴国镇诚信车行,湖北省,,
湖北省黄冈市红安县红坪大道26号卫生防疫站对面爱玛专卖店,黄冈市,红安县,31.294296714037316,114.62442561129834,湖北省红安县喻理平,湖北省,,
湖北省黄冈市黄州大道爱玛专卖店,黄冈市,黄州区,30.440224145145685,114.88653238452474,黄冈市黄州区爱尚车行,湖北省,,
湖北省黄冈市蕲春县漕河镇齐昌大道163号,黄冈市,蕲春县,30.23253549973421,115.4423985340966,湖北省黄冈市蕲春县官雄梅,湖北省,,
湖北省黄冈市浠水县老转盘建行对面,黄冈市,浠水县,30.457460842265274,115.2715690328918,湖北省黄冈市浠水县张飞,湖北省,,
湖北省黄冈市蕲春县蕲州镇二里湖大道爱玛专卖店,黄冈市,蕲春县,30.062169564984213,115.4097831468947,湖北省黄冈市蕲春县蕲州镇孙强华,湖北省,,
湖北省黄冈市黄梅县五祖大道466号爱玛电动车,黄冈市,黄梅县,30.076605056821283,115.95046198476884,湖北省黄冈市黄梅县洪涛,湖北省,,
麻城市建设路20号,黄冈市,麻城市,31.176995837411464,115.01656174777186,麻城市建春电动车经营店,湖北省,,
湖北省黄冈武穴市三号路房产大厦门面,黄冈市,武穴市,29.850441430483002,115.56739216105213,武穴市中盛车行,湖北省,,
