address,city,districd,lat,lon,name,province,street,town
安徽省宿州市东外环高架桥北1000米永通电缆厂对面（送货地点，接货人：武勇 手机：15551139002）安徽省宿州市环城南路爱玛专卖店（办公地点）,宿州市,埇桥区,33.65209532645213,116.97054394561262,宿州市众源工贸有限公司,安徽省,,
安徽省宿州市泗县文庙商城西门C1区爱玛电动车专卖店,宿州市,泗县,33.48869463013435,117.9165899917489,泗县泗州车业有限公司,安徽省,,
安徽省宿州市砀山县道北310国道爱玛专卖店（砀山教育局对面）,宿州市,砀山县,34.44842817139671,116.3725240015101,砀山县金玛车行,安徽省,,
安徽省宿州市灵璧县经济开发区凌山路8号,宿州市,灵璧县,33.547892231948374,117.56455699798788,灵璧县灵城朱增电动车销售部,安徽省,,
安徽省宿州市萧县交通路78号,宿州市,萧县,34.19426934431854,116.95358492572029,萧县郝帅爱玛电动车专卖店,安徽省,,
安徽省淮北市相山区相山路桓谭小区院内爱玛电动车专卖店,淮北市,濉溪县,33.92162919482287,116.7723894280831,濉溪县城北祥运车行,安徽省,,
安徽省亳州市涡阳县胜利东路（涡阳二中对面）,亳州市,涡阳县,33.4985668350044,116.22160903515599,涡阳县新日车业有限公司,安徽省,,
安徽省亳州市蒙城县商城东路三栋10户,亳州市,蒙城县,33.261732809072384,116.56762883830784,蒙城县商城东路李伟电动车配件批发部,安徽省,,
安徽省亳州市利辛县青年路738号,亳州市,利辛县,33.16693620482141,116.18024168464169,利辛县世纪车业有限公司西城分公司,安徽省,,
安徽省亳州市谯城区希夷大道爱玛专卖店（药都医院对面）,亳州市,谯城区,33.882663087443404,115.78547191853164,谯城区鸿兴车业,安徽省,,
安徽省蚌埠市固镇县汇合路东200米路南中天车业,蚌埠市,固镇县,33.323274297744135,117.32354764830771,固镇县城关中远电动车商行,安徽省,,
安徽省蚌埠市蚌山区光彩大市场,蚌埠市,龙子湖区,32.921523704350825,117.39551332813694,蚌埠市腾飞车业有限公司,安徽省,,
安徽省蚌埠市五河县国防路新天地1008号,蚌埠市,五河县,33.13270946286574,117.88756088987175,五河县鸿运电动车销售部,安徽省,,
安徽省阜阳市颍泉开发区颍泉工业园（阜阳生态园）,阜阳市,颍州区,32.89606099485221,115.82043612491321,阜阳汇达贸易有限公司,安徽省,,
安徽省阜阳市界首市东城开发区,阜阳市,界首市,33.2674152924209,115.3609852853884,界首市飞燕电动车行信义街店,安徽省,,
安徽省阜阳市阜南县地城北路物资局对面,阜阳市,阜南县,32.66409738512507,115.60254592516004,阜南县洋海电动车门市部,安徽省,,
安徽省阜阳市临泉县解放北大街南段爱玛助力车专卖店,阜阳市,临泉县,33.04595952836284,115.26761550051185,临泉县金哲电动车经营部,安徽省,,
安徽省阜阳市颍上县慎城镇中心西路中段南侧,阜阳市,颍上县,32.659028468804394,116.26347689904284,颍上县文清电动车行,安徽省,,
安徽省阜阳市太和县人民中路朴人商厦路东30米,阜阳市,太和县,33.16595985009563,115.62861546970402,太和县正大电动车经销部,安徽省,,
安徽省淮南市凤台县烟草局南100米,淮南市,田家庵区,32.63184739905333,117.00638885071616,淮南市都成商贸有限公司,安徽省,,
安徽省淮南市田家庵区国庆东路淮南国际汽配城,淮南市,田家庵区,32.63184739905333,117.00638885071616,淮南市大家庭电器有限公司,安徽省,,
安徽省合肥市国际汽车城汽摩配市场130号,合肥市,蜀山区,31.826577833686887,117.23344266497664,合肥全泰商贸有限公司,安徽省,,
安徽省合肥市肥东县龙泉西路11号,合肥市,肥东县,31.89389035448661,117.47540062527533,肥东县昌顺电动车经营部,安徽省,,
安徽省合肥市肥西县上派镇新华街爱玛总代理,合肥市,肥西县,31.725031961793555,117.17880436868869,肥西新华车业爱玛电动车销售部,安徽省,,
安徽省巢湖市庐江县越城中路爱玛专卖,合肥市,庐江县,31.261327637478026,117.29357730191721,庐江县大远车行,安徽省,,
安徽省安庆市光彩大市场二期三区四幢10、12、14、16号,安庆市,大观区,30.53095656804304,117.06360390491879,安庆市尚德鸿图商贸有限公司,安徽省,,
